,output 1,output 2,output 3,output 4
0,"{'sequence': ""#Trump: As a student I used to hear for years, for ten years, I heard China! In 2019! And we have 1.5 and they don't know how many we have and I asked them how many do we have and they said 'sir we don't know.' But we have millions. Like 300 million.  Um. What?\r\n\r"", 'labels': ['Trump'], 'scores': [0.9874559640884399]}","{'sequence': ""Twazis says they blocked NY Post's #HunterBiden story cuz they block stories with stolen info.  Let's test their theory &amp; #Leftist agenda in protecting #Biden with the story by the #NYPost on STOLEN secret audio tapes of #Trump!      \r"", 'labels': ['Trump'], 'scores': [0.8101014494895935]}","{'sequence': 'To all of the #Trump followers! all of the people behind him at his latest rally will have on masks to fool all of us into thinking that all of the rally attendees are wearing a Mask! They are NOT! \r', 'labels': ['Trump'], 'scores': [0.9453949332237244]}","{'sequence': '#Vote yes for Life, vote yes for health care, vote yes for America; vote for #Trump. \r\n\r', 'labels': ['Trump'], 'scores': [0.9852197766304016]}"
1,"{'sequence': '2 hours since last tweet from #Trump! Maybe he is VERY busy. Tremendously busy.\r', 'labels': ['Trump'], 'scores': [0.9495437145233154]}","{'sequence': '#FakePresident #DonaldTrump will continue his #COVID19 #SuperSpreaderEvent Tour, in #Iowa. Fake President Donald #Trump will be giving #TrumpSupporters COVID-19 #KoolAid in Iowa, on #Wednesday #October 14, 2020  \r\n\r', 'labels': ['Trump'], 'scores': [0.8979360461235046]}","{'sequence': ' Amy is a phenomenon! Trust President Trump to choose the best! #Trump will never ever choose #KamalaHarris in a million years to be his #VP! The #TerroristDemocrats have poor choices! People suffer!\r', 'labels': ['Trump'], 'scores': [0.9499003887176514]}","{'sequence': ""#Trump: Barron had the Corona 19, the China virus, it has twenty different names but to me Corona means Italy! And it came from China! So he had the China virus! But it's so beautiful he had it and he's free, he's totally free, he had it for like two seconds.  Duuuuuuuuuuude. No.\r\n\r"", 'labels': ['Trump'], 'scores': [0.9734038710594177]}"
2,"{'sequence': 'You get a tie! And you get a tie! #Trump ‘s rally   \r', 'labels': ['Trump'], 'scores': [0.9943646192550659]}","{'sequence': ""  #DonaldTrump👱 is #NotFit to be #POTUS🦅🇺🇸 🦅because he exploited #Elderly 🧓🧑\u200d🦳for #Deceptive #PhotoShop📸#Ops, blanded #POW / #MIA / #KIA #Veterans🎖️👲🎖️ as #Suckers &amp; mocked #Disabled #Persons 👩\u200d🦯🧑\u200d🦯&amp; #People on #WheelChairs 👩\u200d🦽👨\u200d🦼 who're Protected by #ADA👩\u200d🦽\r\n\r"", 'labels': ['Trump'], 'scores': [0.9992237687110901]}","{'sequence': '  This is true!  In a related story, #CNN is facing heat for allowing #WolfBlitzer and #MaggieHaberman to continue working for #Trump and help with #2020Election.\r\n\r', 'labels': ['Trump'], 'scores': [0.9601792693138123]}","{'sequence': '  Another nothing burger just like the bill barr investigation 😂     \r', 'labels': ['Trump'], 'scores': [0.13537096977233887]}"
3,"{'sequence': ' Her 15 minutes were over long time ago. Omarosa never represented the black community! #TheReidOut   She cried to #Trump begging for a job!\r', 'labels': ['Trump'], 'scores': [0.5833908319473267]}","{'sequence': "" USA Today Article - '#Trump's first day of COVID-19 was Day 200 for me. Here's what I think of his 'victory.'   via   should have read  response first   \r"", 'labels': ['Trump'], 'scores': [0.996261477470398]}","{'sequence': 'So do the masked #MAGA supporters understand that the #MAGAMasks behind the #Trump stage are metaphorical in about 10 different ways?  \r', 'labels': ['Trump'], 'scores': [0.8899002075195312]}","{'sequence': ' #Trump is scared of women. He does not respect women.  \r', 'labels': ['Trump'], 'scores': [0.9945868253707886]}"
4,"{'sequence': ' Glad u got out of the house! DICK!!#trump 2020💪🏽🇺🇸🇺🇸\r', 'labels': ['Trump'], 'scores': [0.9988229870796204]}","{'sequence': ' Do we have PROOF that #Trump tested negative or is it just his word?\r', 'labels': ['Trump'], 'scores': [0.9272744059562683]}","{'sequence': '#TrumpVirusDeathToll275K &amp; rising when all #Americans killed by #TrumpVirus are counted. #Trump &amp; #GOPDeathCult have been hiding #Covid deaths as pneumonia cases for months-see TX, FL, etc. People died alone &amp; scared, without family.     \r\n\r', 'labels': ['Trump'], 'scores': [0.40295717120170593]}","{'sequence': "" Thank you  another example showing the false hoods of #BlackMen voting for #trump   you should change your Twitter handle to trump's paid actors.  #TruthBeBlack 🖤🖤🖤\r"", 'labels': ['Trump'], 'scores': [0.985054612159729]}"
5,"{'sequence': '   There won’t be many of them.  Unless you all have been voting more than once again.  But God prevails.  BO was the most corrupt President ever.  Dark to light.  Your lies are all coming through.  They wouldn’t last forever. \r', 'labels': ['Trump'], 'scores': [0.3864215314388275]}","{'sequence': ' #Trump #TrumpLiesAmericansDie   80+ researchers warn that a so-called #herdimmunity approach to managing #COVID19 is “a dangerous fallacy unsupported by the scientific evidence”           \r', 'labels': ['Trump'], 'scores': [0.9935020804405212]}","{'sequence': 'Trump blasts Facebook, Twitter for censoring article critical of Biden     \r\n\r', 'labels': ['Trump'], 'scores': [0.3270876705646515]}","{'sequence': 'Can this get any wilder???? Me thinks yes...     \r', 'labels': ['Trump'], 'scores': [0.6395229697227478]}"
6,"{'sequence': 'One of the single most effective remedies to eradicate another round of #Trump Plague in our #WhiteHouse.  \r', 'labels': ['Trump'], 'scores': [0.8360803127288818]}","{'sequence': "" You are 💯 right! Every time they speak their lies, #Dems votes fly out of the window, towards #Trump's direction. How very nice of them!\r\n\r"", 'labels': ['Trump'], 'scores': [0.42770031094551086]}","{'sequence': "" Amy Coathanger Barrett 💀☠️💀☠️💀☠️💀☠️💀 Taking women back to the 50s #Trump it's all about HIM!! #TrumpProjection #America  #AmericaOrTrump  #AmericaNeedsPennsylvania  #Dump reckless          \r"", 'labels': ['Trump'], 'scores': [0.9987488389015198]}","{'sequence': 'If ya don’t know about... ⁃’s #blackfridays ⁃ releasing an anti #Trump song ⁃ doing away with free trials ...Now Ya Know With Gunz    \r', 'labels': ['Trump'], 'scores': [0.9760846495628357]}"
7,"{'sequence': '""IS THIS WRONG??!!"" Cory Booker\'s BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett           \r\n\r', 'labels': ['Trump'], 'scores': [0.9509575963020325]}","{'sequence': 'So it’s official? The #Trump administration’s strategy to end the pandemic is fucking herd immunity? They’ve been denying this for months, but you could see this was the plan from the start. Hence no PPE production, no national mask mandates. This is so wrong. Millions can die\r\n\r', 'labels': ['Trump'], 'scores': [0.8390700221061707]}","{'sequence': 'I witnessed voter fraud in Ohio! Fighting for #Trump! Re-tweet this!!! Get this out! #Ohiovotingfraud!\r', 'labels': ['Trump'], 'scores': [0.7941886782646179]}","{'sequence': 'The next #Trump supporter who can’t have a dignifying civil conversation. Lol I mean come on there 😏 will get blocked. Already had to block twenty because they can’t understand that their president is a piece of shit! #BidenHarris2020 sick of shit already!!!\r', 'labels': ['Trump'], 'scores': [0.9912222027778625]}"
8,"{'sequence': 'In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.  but CCP from #China or porn on Twitter?   That’s always been fine for    .   is  sick?\r\n\r', 'labels': ['Trump'], 'scores': [0.6878675818443298]}","{'sequence': '19 days to go. #Trump Must Go.  \r', 'labels': ['Trump'], 'scores': [0.9713667631149292]}","{'sequence': 'Like the media, Facebook no longer even pretends to be unbiased. Their blind hatred of Trump and democracy is obvious             \r\n\r', 'labels': ['Trump'], 'scores': [0.9700778722763062]}","{'sequence': ""So, 20 days out from #USPresidentialElections2020... if #Trump get lucky with a deflection story that sucks media in as usual, may give him a chance win back some support. If everything stays relatively as is and COVID big story, he's toast.\r\n\r"", 'labels': ['Trump'], 'scores': [0.9334700703620911]}"
9,"{'sequence': '  #Ukraine  impeachment #FactCheck ‘how’ often #Trump &amp;  lied!!!   \r', 'labels': ['Trump'], 'scores': [0.9976323246955872]}","{'sequence': '#Trump and #Johnson practice photo shoot went very well today.   #LookIntoMyCrystalBall ⬇️  \r', 'labels': ['Trump'], 'scores': [0.6009007096290588]}","{'sequence': 'If #Trump can lower drug prices, why has it not done it is a fair question.  \r\n\r', 'labels': ['Trump'], 'scores': [0.9497392177581787]}","{'sequence': ""Good chance #Trump and minions will try to generate a deflection story even if it's negative for him -- Access Hollywood didn't hurt him and one could argue helped him win in the end. This guy is a freak of nature so anything is possible.\r"", 'labels': ['Trump'], 'scores': [0.9672790765762329]}"
