,output 1,output 2,output 3,output 4
0,"{'sequence': '     Otro jonrón de #Trump. 👊🏻Y que no se nos olvide que ahí también están involucrados los #ClintonCrimeFamily y #Obama, por mencionar algunos.  \r\n\r', 'labels': ['Trump'], 'scores': [0.9790712594985962]}","{'sequence': 'Estimados lectores de  ¡Ya está disponible la edición No. 817 Escríbenos: lacarpetapurpura.com  #AMLO #4T #COVID19  #Elecciones2020 #Biden #Trump  #Escenarios #Economia #Politica   ¡Adquiérelo!    \r', 'labels': ['Trump'], 'scores': [0.9233550429344177]}","{'sequence': '👉 Kissinger sugiere que EE.UU no está preparado para lider el mundo ante China y Taiwan podría reestablecer relaciones diplomaticas con EE.UU desatanto la furia de China -   #Trump.   \r', 'labels': ['Trump'], 'scores': [0.9114024043083191]}","{'sequence': 'El hijo del presidente estadounidense #DonaldTrump, Barron, había dado positivo al nuevo #Coronavirus, pero ahora sus resultados son negativos, informó el miércoles la primera dama #MelaniaTrump.  \r\n\r', 'labels': ['Trump'], 'scores': [0.7252708077430725]}"
1,"{'sequence': 'Las campañas de #Biden en la comunidad latina literal es nomas el diciendo ""Hola no soy #Trump vota por mi"". 🤦🏻\u200d♂️\r\n\r', 'labels': ['Trump'], 'scores': [0.9410996437072754]}","{'sequence': '•Ninguna mención en lo más mínimo se utiliza la imagen o se hace mención de #AMLO en Estados Unidos por el candidato #DonaldTrump. •No seas mentiroso Jorge. •Muestra un sólo video legítimo que sostenga lo que afirmas.  \r', 'labels': ['Trump'], 'scores': [0.6132898926734924]}","{'sequence': '👉 #Trump y #Biden redoblan los esfuerzos para atraer a los indecisos en la recta final de la campaña.    \r', 'labels': ['Trump'], 'scores': [0.9739758372306824]}","{'sequence': 'La caricatura del año: #Trump! Por Víctor Juhasz, para la   \r\n\r', 'labels': ['Trump'], 'scores': [0.9908386468887329]}"
2,"{'sequence': 'Si pierde #Trump ya verán como se acabará el calentamiento global, la opresión hacia los negros, las deportaciones, el machismo opresor, aparecerá la vacuna etc. Porque en realidad ese no es el problema, el problema es que no les gusta Trump.\r\n\r', 'labels': ['Trump'], 'scores': [0.615121603012085]}","{'sequence': 'A 21 días de las elecciones, Trump y Biden libran duelo en estados clave -       \r\n\r', 'labels': ['Trump'], 'scores': [0.8472177982330322]}","{'sequence': 'Duelo televisado de #Trump y #Biden, cada uno en un canal distinto   \r\n\r', 'labels': ['Trump'], 'scores': [0.9479290246963501]}","{'sequence': 'Universidad de Miami prueba anticuerpos que le dieron a Trump       \r', 'labels': ['Trump'], 'scores': [0.545935332775116]}"
3,"{'sequence': '#DonaldTrump afirma que se siente como “Superman” tras tomar Regeneron ►   \r', 'labels': ['Trump'], 'scores': [0.8257603645324707]}","{'sequence': 'Se caen las caretas. Facebook y twitter abiertamente a favor de #JoeBiden. ¿De qué se van a disfrazar cuando reelija #DonaldTrump?  \r', 'labels': ['Trump'], 'scores': [0.8246952295303345]}","{'sequence': 'Presidente Trump participará en foro de NBC News este jueves     \r', 'labels': ['Trump'], 'scores': [0.9850555062294006]}","{'sequence': '#15Oct  | Campañas de #Trump y #Biden intensifican sus actos en estados clave  \r', 'labels': ['Trump'], 'scores': [0.9405983090400696]}"
4,"{'sequence': 'SALUD con TALA 114 ❤ COVID 19 Una Sindemia // Confinamiento dice la OMS // Regeneron la cura? Definen a la COVID-19 como una SINDEMIA Donald Trump         \r', 'labels': ['Trump'], 'scores': [0.9536798596382141]}","{'sequence': 'El presidente Donald Trump bailando Macho Men de Village People 👏  Un ""poderoso"" e ""inmune"" Trump baila durante un mitin de campaña tras superar el covid-19 y se ofrece a besar a todo el público.  Mira el Video👉          \r\n\r', 'labels': ['Trump'], 'scores': [0.9667110443115234]}","{'sequence': '•EEUU ELECCIONES: Duelo televisado de #Trump y #Biden, cada uno en un canal distinto.- •TAILANDIA MANIFESTACIONES:  Cientos de manifestantes prodemocracia desoyen la prohibición y protestan en Tailandia.-   \r\n\r', 'labels': ['Trump'], 'scores': [0.5775347352027893]}","{'sequence': ""🔴 Todos son 'científicos', Twitter también 👉🏻   #⃣ #mil21 #Twitter #Facebook #Redessociales #DonaldTrump #Opinión por Alejandro A. Tagliavini  👥 \r\n\r"", 'labels': ['Trump'], 'scores': [0.9536635279655457]}"
5,"{'sequence': '#Barron , hijo menor de #Trump también contrajo el COVID-19   \r\n\r', 'labels': ['Trump'], 'scores': [0.9482267498970032]}","{'sequence': 'Trump participará en foro público con electores de Miami     \r', 'labels': ['Trump'], 'scores': [0.9902065992355347]}","{'sequence': '#SinAtaduras | Mientras que en #México políticos y empresariales siguen aferrados a creer que #Trump es invencible, en #EU no se preguntan si va a ganar sino qué tan grande será su derrota, lee y escucha 🎙 la columna de     \r\n\r', 'labels': ['Trump'], 'scores': [0.8182175755500793]}","{'sequence': ""📍 Todos son 'científicos', Twitter también 👉🏻   #⃣ #CrónicaLocal #Twitter #Facebook #Redessociales #DonaldTrump #Opinión por Alejandro A. Tagliavini  👥 \r\n\r"", 'labels': ['Trump'], 'scores': [0.9560432434082031]}"
6,"{'sequence': '#Economía Empresarios mexicanos consideran que reelección de #Trump tendría repercusiones positivas para    \r', 'labels': ['Trump'], 'scores': [0.8910305500030518]}","{'sequence': '👥🇺🇸 ¿Quién será el próximo presidente de Estados Unidos? #Biden vs #Trump.   📺 Este 3 de noviembre sigue la cobertura de las #Elecciones2020 en .  \r', 'labels': ['Trump'], 'scores': [0.7974098324775696]}","{'sequence': 'Los venezolanos radicados en los #EEUU luego de ganar #HugoChávez, y que apoyan a #Biden, tienen algo en común con el candidato demócrata, las funciones cognitivas las tienen por el suelo.  Que #Trump es un prepotente, su conducta choca, es correcto. Pero es un CRACK EN FINANZAS\r\n\r', 'labels': ['Trump'], 'scores': [0.8448458313941956]}","{'sequence': ""🗣️ Todos son 'científicos', Twitter también 👉🏻   #⃣ #LaVozdeAvila #Twitter #Facebook #Redessociales #DonaldTrump #Opinión por Alejandro A. Tagliavini  👥 \r\n\r"", 'labels': ['Trump'], 'scores': [0.8252584934234619]}"
7,"{'sequence': '#Noticias 1⃣El historial económico del presidente nunca encajó del todo con la historia en blanco y negro contada por sus ardientes fanáticos o sus furiosos enemigos. Y la deuda federal ha aumentado en 5,6 billones de dólares bajo la supervisión de      \r\n\r', 'labels': ['Trump'], 'scores': [0.5991399884223938]}","{'sequence': 'Hijo menor de #Trump, Barron, dio positivo a #COVID19👉👉👉   \r\n\r', 'labels': ['Trump'], 'scores': [0.8878389000892639]}","{'sequence': '  OtaOla no te oigo denunciando a  y como coarta la libertad de expresión a los pro #Trump dejando pasar las falsas noticias de Black Lies Matter y Antifa. *\r', 'labels': ['Trump'], 'scores': [0.5938725471496582]}","{'sequence': 'Sondeo da 17 puntos de ventaja a Biden sobre Trump en los comicios.       \r', 'labels': ['Trump'], 'scores': [0.40601325035095215]}"
8,"{'sequence': '#Trump rechazó apoyo de talibanes a su campaña de reelección.   \r', 'labels': ['Trump'], 'scores': [0.9792712330818176]}","{'sequence': 'Reglas que no cumple cuando las historias van en contra de Trump. Por ejemplo, la forma ilegal como se consiguieron miembros de la prensa tradicional información sobre los impuestos de #Trump. Usted piensa que todo se vale para sacar a Trump. Por lo tanto, usted es totalitaria.  \r\n\r', 'labels': ['Trump'], 'scores': [0.23820655047893524]}","{'sequence': ' Mientras #Trump viaja para recaudar fondos para su pésima campaña nuestro presidente  visita Santiago para controlar la marcha de este territorio. #Cuba está a su lado, ha demostrado que ni Raúl ni Fidel se equivocaron.     \r\n\r', 'labels': ['Trump'], 'scores': [0.8601760268211365]}","{'sequence': ' Jajajaa siii y hasta vi  un video de  #Estadounidenses bailando salsa, será que los veremos bailando Joropo a los Venezolanos con #Trump  ?\r\n\r', 'labels': ['Trump'], 'scores': [0.9360379576683044]}"
9,"{'sequence': '#Trump: “El 3 de noviembre será el día más emocionante en la historia de las elecciones estadounidenses”.  \r', 'labels': ['Trump'], 'scores': [0.9896190166473389]}","{'sequence': '#Trump se reunió con alrededor de 7,000 de sus seguidores en         \r\n\r', 'labels': ['Trump'], 'scores': [0.9849821329116821]}","{'sequence': ' Si los organizadores de la campaña de #Trump usa la imagen de Castro/Chavez con #Biden, #EEUU lo agradece, ya que advierte a los electores del peligro que corren los estadounidenses con Biden, el candidato de #Cuba Castro #Maduro #Nicaragua Ortega, terroristas     \r\n\r', 'labels': ['Trump'], 'scores': [0.8398509621620178]}","{'sequence': '#Covid19😷 | El hijo del presidente estadounidense #DonaldTrump, Barron, había dado positivo al nuevo coronavirus, pero ahora sus resultados son negativos, informó el miércoles la primera dama Melania Trump.  \r\n\r', 'labels': ['Trump'], 'scores': [0.8318393230438232]}"
